fecha,plu,nombre_producto,precio_dia,precio_regular,disponible
5-15-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-16-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-17-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-18-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-19-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-20-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-21-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-22-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-23-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-24-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-25-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-26-2022,,aceite girasol  cocinero   botella 900 ml,167.66,167.66,
5-30-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
5-31-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-1-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-2-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-3-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-4-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-5-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-6-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-7-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-8-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-9-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-10-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-11-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-12-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-13-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-14-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-15-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-16-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-17-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-18-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-19-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-20-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-21-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
6-23-2022,,aceite girasol  cocinero   botella 900 ml,173.19,173.19,
